ts_utc,ts_ms,date_cn,base,symbol,oi_size,oi_delta_pct,funding_bp,funding_pctile,funding_positive_share,next_funding_ms
2026-09-24T15:53:38.467Z,1790265218467,2026-09-24,SOXL,SOXLUSDT,382445.699999999,-0.1523,2.52,83.0,27.0,1790265600000
2026-09-24T15:53:38.467Z,1790265218467,2026-09-24,HOOD,HOODUSDT,43057.28000000001,0.1084,0.63,82.0,25.0,1790265600000
2026-09-24T15:53:38.467Z,1790265218467,2026-09-24,MRVL,MRVLUSDT,16851.030000000024,0.3598,0.0,74.0,26.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,TSLA,TSLAUSDT,44429.82000000003,-0.0742,0.0,78.0,22.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,NVDA,NVDAUSDT,72331.05999999992,0.0207,1.78,86.0,30.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,AAPL,AAPLUSDT,22714.819999999992,0.3848,0.0,82.0,18.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,META,METAUSDT,8677.240000000003,0.2521,0.0,90.0,10.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,GOOGL,GOOGLUSDT,61787.78999999999,-0.0042,3.46,92.0,34.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,SPY,SPYUSDT,13801.540000000006,-0.0019,0.76,93.0,14.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,QQQ,QQQUSDT,20282.269999999993,0.0105,0.72,66.0,41.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,SOXL,SOXLUSDT,382036.189999999,-0.1071,2.48,83.0,27.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,HOOD,HOODUSDT,43078.78000000001,0.0499,0.71,84.0,25.0,1790265600000
2026-09-24T15:59:17.459Z,1790265557459,2026-09-24,MRVL,MRVLUSDT,16834.510000000024,-0.098,0.0,74.0,26.0,1790265600000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,TSLA,TSLAUSDT,44416.070000000036,-0.0309,0.0,78.0,22.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,NVDA,NVDAUSDT,72335.62999999993,0.0063,1.78,86.0,31.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,AAPL,AAPLUSDT,22699.719999999998,-0.0665,0.0,82.0,18.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,META,METAUSDT,8726.310000000003,0.5655,0.0,90.0,10.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,GOOGL,GOOGLUSDT,61780.28999999999,-0.0121,3.45,92.0,35.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,SPY,SPYUSDT,13799.920000000007,-0.0117,0.81,93.0,15.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,QQQ,QQQUSDT,20281.309999999994,-0.0047,0.74,66.0,42.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,SOXL,SOXLUSDT,382103.15999999904,0.0175,2.46,82.0,28.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,HOOD,HOODUSDT,43103.96000000002,0.0585,0.75,84.0,26.0,1790294400000
2026-09-24T16:04:50.307Z,1790265890307,2026-09-25,MRVL,MRVLUSDT,16911.520000000026,0.4575,0.0,74.0,26.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,TSLA,TSLAUSDT,44339.72000000004,-0.1719,0.0,78.0,22.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,NVDA,NVDAUSDT,72327.89999999992,-0.0107,1.79,86.0,31.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,AAPL,AAPLUSDT,22693.579999999994,-0.027,0.0,82.0,18.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,META,METAUSDT,8745.120000000004,0.2156,0.0,90.0,10.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,GOOGL,GOOGLUSDT,61731.329999999994,-0.0792,3.47,92.0,35.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,SPY,SPYUSDT,13804.440000000006,0.0328,0.85,93.0,15.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,QQQ,QQQUSDT,20278.02999999999,-0.0162,0.78,66.0,42.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,SOXL,SOXLUSDT,381816.129999999,-0.0751,2.46,82.0,28.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,HOOD,HOODUSDT,43102.48000000002,-0.0034,0.78,86.0,26.0,1790294400000
2026-09-24T16:10:26.657Z,1790266226657,2026-09-25,MRVL,MRVLUSDT,16925.910000000025,0.0851,0.0,74.0,26.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,TSLA,TSLAUSDT,44229.66000000004,-0.2482,0.0,78.0,22.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,NVDA,NVDAUSDT,72311.37999999993,-0.0228,1.8,86.0,31.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,AAPL,AAPLUSDT,22646.379999999994,-0.208,0.0,82.0,18.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,META,METAUSDT,9009.950000000004,3.0283,0.0,90.0,10.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,GOOGL,GOOGLUSDT,61736.05999999999,0.0077,3.47,92.0,35.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,SPY,SPYUSDT,13804.180000000006,-0.0019,0.89,93.0,15.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,QQQ,QQQUSDT,20218.229999999992,-0.2949,0.8,66.0,42.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,SOXL,SOXLUSDT,380897.02999999904,-0.2407,2.47,82.0,28.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,HOOD,HOODUSDT,43090.18000000002,-0.0285,0.8,86.0,26.0,1790294400000
2026-09-24T16:15:04.075Z,1790266504075,2026-09-25,MRVL,MRVLUSDT,16726.510000000024,-1.1781,0.0,74.0,26.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,TSLA,TSLAUSDT,44248.86000000004,-0.2049,0.0,78.0,22.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,NVDA,NVDAUSDT,72310.99999999993,-0.0005,1.8,86.0,31.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,AAPL,AAPLUSDT,22649.999999999993,0.016,0.0,82.0,18.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,META,METAUSDT,9006.320000000005,-0.0403,0.0,90.0,10.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,GOOGL,GOOGLUSDT,61739.31,0.0053,3.47,92.0,35.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,SPY,SPYUSDT,13766.990000000007,-0.2694,0.9,93.0,15.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,QQQ,QQQUSDT,20239.48999999999,0.1052,0.8,66.0,42.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,SOXL,SOXLUSDT,385258.5099999991,1.1451,2.48,83.0,28.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,HOOD,HOODUSDT,43444.32000000002,0.8219,0.81,86.0,26.0,1790294400000
2026-09-24T16:15:35.756Z,1790266535756,2026-09-25,MRVL,MRVLUSDT,16863.280000000024,0.8177,0.0,74.0,26.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,TSLA,TSLAUSDT,44214.21000000004,-0.0349,0.0,78.0,22.0,1790294400000
2026-09-24T16:15:58.720Z,1790266558720,2026-09-25,NVDA,NVDAUSDT,72308.22999999994,-0.0044,1.8,86.0,31.0,1790294400000
