ts_utc,ts_ms,date_cn,base,symbol,venue,trade_id,side,price,size,notional_usd
2026-09-20T16:00:00.045Z,1789920000045,2026-09-21,QQQ,RQQQUSDT,spot,1485597643872399360,buy,720.99,0.0277,19.971423
2026-09-20T16:00:00.084Z,1789920000084,2026-09-21,TSLA,RTSLAUSDT,spot,1485597644035977216,buy,363.93,0.1373,49.967589
2026-09-20T16:00:07.076Z,1789920007076,2026-09-21,QQQ,RQQQUSDT,spot,1485597673362550784,buy,720.99,0.1386,99.929214
2026-09-20T16:00:07.081Z,1789920007081,2026-09-21,TSLA,RTSLAUSDT,spot,1485597673383522304,buy,363.93,0.0686,24.965598
2026-09-20T16:00:07.082Z,1789920007082,2026-09-21,QQQ,RQQQUSDT,spot,1485597673387716608,buy,721.42,0.2772,199.977624
2026-09-20T16:00:20.103Z,1789920020103,2026-09-21,HOOD,RHOODUSDT,spot,1485597728001748994,buy,118.11,0.2701,31.901511
2026-09-20T16:00:20.103Z,1789920020103,2026-09-21,HOOD,RHOODUSDT,spot,1485597728001748992,buy,118.11,0.2499,29.515689
2026-09-20T16:00:33.438Z,1789920033438,2026-09-21,NVDA,RNVDAUSDT,spot,1485597783932792832,buy,220.85,0.1117,24.668945
2026-09-20T16:00:38.004Z,1789920038004,2026-09-21,HOOD,RHOODUSDT,spot,1485597803083984896,buy,118.11,1.45,171.2595
2026-09-20T16:00:43.406Z,1789920043406,2026-09-21,NVDA,RNVDAUSDT,spot,1485597825741615104,sell,220.84,0.1117,24.667828
2026-09-20T16:00:50.035Z,1789920050035,2026-09-21,NVDA,RNVDAUSDT,spot,1485597853545656320,buy,220.85,0.1116,24.64686
2026-09-20T16:00:53.487Z,1789920053487,2026-09-21,NVDA,RNVDAUSDT,spot,1485597868024393728,sell,220.84,0.1116,24.645744
2026-09-20T16:00:57.327Z,1789920057327,2026-09-21,NVDA,RNVDAUSDT,spot,1485597884130521088,buy,220.85,0.1115,24.624775
2026-09-20T16:01:00.002Z,1789920060002,2026-09-21,NVDA,RNVDAUSDT,spot,1485597895350284288,sell,220.84,0.1115,24.62366
2026-09-20T16:01:02.418Z,1789920062418,2026-09-21,NVDA,RNVDAUSDT,spot,1485597905483722752,sell,220.84,0.6566,145.003544
2026-09-20T16:01:02.572Z,1789920062572,2026-09-21,NVDA,RNVDAUSDT,spot,1485597906129645570,buy,220.87,0.0203,4.483661
2026-09-20T16:01:02.572Z,1789920062572,2026-09-21,NVDA,RNVDAUSDT,spot,1485597906129645568,buy,220.85,0.0911,20.119435
2026-09-20T16:01:05.221Z,1789920065221,2026-09-21,NVDA,RNVDAUSDT,spot,1485597917240356864,sell,220.86,0.1114,24.603804
2026-09-20T16:01:07.842Z,1789920067842,2026-09-21,NVDA,RNVDAUSDT,spot,1485597928233627648,buy,220.87,0.1113,24.582831
2026-09-20T16:01:10.383Z,1789920070383,2026-09-21,NVDA,RNVDAUSDT,spot,1485597938891354112,sell,220.86,0.1113,24.581718
