ts_utc,ts_ms,date_cn,base,symbol,venue,side,level,price,size,notional_usd,cum_notional_usd
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,bid,1,729.56,0.58,423.1448,423.1448
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,bid,2,729.52,4.19,3056.6888,3479.8336
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,bid,3,729.49,0.48,350.1552,3829.9888
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,bid,4,729.48,0.51,372.0348,4202.0236
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,bid,5,729.46,0.01,7.2946,4209.3182
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,ask,1,729.6,20.78,15161.088,15161.088
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,ask,2,729.64,14.79,10791.3756,25952.4636
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,ask,3,729.65,3.53,2575.6645,28528.1281
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,ask,4,729.67,0.58,423.2086,28951.3367
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,META,METAUSDT,perp,ask,5,729.73,1.93,1408.3789,30359.7156
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,bid,1,222.85,0.8782,195.7069,195.7069
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,bid,2,222.84,1.1586,258.1824,453.8893
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,bid,3,222.83,86.4,19252.512,19706.4013
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,bid,4,222.82,1.0121,225.5161,19931.9174
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,bid,5,222.78,176.4,39298.392,59230.3094
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,ask,1,222.89,0.9586,213.6624,213.6624
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,ask,2,222.9,0.6602,147.1586,360.8209
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,ask,3,223.03,115.2,25693.056,26053.8769
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,ask,4,223.04,109.44,24409.4976,50463.3745
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,RNVDAUSDT,spot,ask,5,223.07,162.2399,36190.8545,86654.229
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,bid,1,223.03,13.19,2941.7657,2941.7657
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,bid,2,223.02,70.83,15796.5066,18738.2723
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,bid,3,223.01,12.61,2812.1561,21550.4284
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,bid,4,223.0,17.54,3911.42,25461.8484
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,bid,5,222.99,186.99,41696.9001,67158.7485
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,ask,1,223.04,7.12,1588.0448,1588.0448
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,ask,2,223.05,0.06,13.383,1601.4278
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,ask,3,223.06,3.49,778.4794,2379.9072
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,ask,4,223.07,25.27,5636.9789,8016.8861
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,NVDA,NVDAUSDT,perp,ask,5,223.08,26.45,5900.466,13917.3521
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,bid,1,337.27,0.5228,176.3248,176.3248
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,bid,2,337.23,0.81,273.1563,449.4811
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,bid,3,337.13,0.7896,266.1978,715.6789
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,bid,4,337.09,0.5423,182.8039,898.4828
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,bid,5,337.08,0.6599,222.4391,1120.9219
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,ask,1,337.57,1.0248,345.9417,345.9417
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,ask,2,337.59,0.7837,264.5693,610.511
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,ask,3,337.63,0.6972,235.3956,845.9067
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,ask,4,337.65,0.966,326.1699,1172.0766
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,RAAPLUSDT,spot,ask,5,337.67,0.6972,235.4235,1407.5001
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,bid,1,376.35,0.709,266.8322,266.8322
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,bid,2,376.31,0.34,127.9454,394.7776
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,bid,3,376.26,0.467,175.7134,570.491
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,bid,4,376.15,39.24,14760.126,15330.617
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,bid,5,376.12,28.8,10832.256,26162.873
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,ask,1,376.42,0.589,221.7114,221.7114
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,ask,2,376.43,39.96,15042.1428,15263.8542
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,ask,3,376.44,32.04,12061.1376,27324.9918
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,ask,4,376.46,0.582,219.0997,27544.0915
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,TSLA,RTSLAUSDT,spot,ask,5,376.49,40.882,15391.6642,42935.7557
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,AAPLUSDT,perp,bid,1,337.43,82.1,27703.003,27703.003
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,AAPLUSDT,perp,bid,2,337.42,2.0,674.84,28377.843
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,AAPLUSDT,perp,bid,3,337.41,99.52,33579.0432,61956.8862
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,AAPLUSDT,perp,bid,4,337.4,63.02,21262.948,83219.8342
2026-09-24T12:39:59.964Z,1790253599964,2026-09-24,AAPL,AAPLUSDT,perp,bid,5,337.39,0.04,13.4956,83233.3298
