ts_utc,ts_ms,date_cn,symbol,venue,base,bid,ask,mid,spread_bp,bid_sz,ask_sz,last,usdt_vol_24h
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RTSLAUSDT,spot,TSLA,376.46,376.49,376.475,0.7969,40.0,41.0,376.49,1552426.9067
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,TSLAUSDT,perp,TSLA,376.82,376.83,376.825,0.2654,37.9,13.64,376.8,19588194.4925
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RNVDAUSDT,spot,NVDA,222.35,222.36,222.35500000000002,0.4497,163.0,140.0,222.34,13455361.1714
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,NVDAUSDT,perp,NVDA,222.5,222.51,222.505,0.4494,135.31,61.67,222.55,10125287.7991
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RAAPLUSDT,spot,AAPL,336.53,336.57,336.54999999999995,1.1885,30.0,46.0,336.55,4448578.982
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,AAPLUSDT,perp,AAPL,336.8,336.81,336.805,0.2969,29.37,1.64,336.81,6310445.8042
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RMETAUSDT,spot,META,766.38,766.96,766.6700000000001,7.5652,2.0,52.0,767.12,45973390.946
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,METAUSDT,perp,META,766.63,766.7,766.665,0.913,1.88,2.6,766.74,13870041.2349
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RGOOGLUSDT,spot,GOOGL,339.08,339.14,339.11,1.7693,35.0,112.0,339.14,6598571.172
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,GOOGLUSDT,perp,GOOGL,339.49,339.55,339.52,1.7672,9.17,0.46,339.54,6778250.4335
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RSPYUSDT,spot,SPY,763.96,763.98,763.97,0.2618,300.0,140.0,764.06,16500706.6172
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,SPYUSDT,perp,SPY,764.7,764.71,764.705,0.1308,381.66,0.38,764.8,3656242.8877
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RQQQUSDT,spot,QQQ,735.6,735.64,735.62,0.5438,297.0,1035.0,735.72,7791802.8788
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,QQQUSDT,perp,QQQ,736.41,736.42,736.415,0.1358,78.53,1.97,736.47,5093869.8259
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RSOXLUSDT,spot,SOXL,139.12,139.16,139.14,2.8748,150.0,54.0,139.12,10999314.0509
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,SOXLUSDT,perp,SOXL,139.28,139.29,139.285,0.718,84.43,10.33,139.29,136315560.0985
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RHOODUSDT,spot,HOOD,120.27,120.3,120.285,2.4941,66.0,20.0,120.27,3145398.689
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,HOODUSDT,perp,HOOD,120.35,120.39,120.37,3.3231,299.21,5.89,120.4,7408585.5389
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,RMRVLUSDT,spot,MRVL,256.45,256.53,256.49,3.119,89.0,16.0,256.62,1015489.571
2026-09-24T16:00:22.994Z,1790265622994,2026-09-25,MRVLUSDT,perp,MRVL,256.69,256.71,256.7,0.7791,10.75,1.16,256.69,8955919.5676
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RTSLAUSDT,spot,TSLA,376.18,376.24,376.21000000000004,1.5949,6.0,50.0,376.22,36577205.3837
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,TSLAUSDT,perp,TSLA,376.48,376.49,376.485,0.2656,32.37,0.28,376.51,19547938.8718
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RNVDAUSDT,spot,NVDA,222.25,222.27,222.26,0.8998,125.0,140.0,222.29,55745236.1528
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,NVDAUSDT,perp,NVDA,222.52,222.53,222.525,0.4494,5.83,94.87,222.51,10129901.249
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RAAPLUSDT,spot,AAPL,336.68,336.69,336.685,0.297,1000.0,100.0,336.75,13421997.7932
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,AAPLUSDT,perp,AAPL,337.01,337.02,337.015,0.2967,146.36,3.72,337.01,6310632.6756
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RMETAUSDT,spot,META,766.45,766.68,766.565,3.0004,460.0,43.0,766.57,102709561.4923
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,METAUSDT,perp,META,766.62,766.82,766.72,2.6085,13.7,8.24,766.74,13869477.0892
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RGOOGLUSDT,spot,GOOGL,339.16,339.21,339.185,1.4741,35.0,20.0,339.27,18171647.6911
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,GOOGLUSDT,perp,GOOGL,339.62,339.66,339.64,1.1777,29.23,6.65,339.7,6778601.2519
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RSPYUSDT,spot,SPY,763.91,763.93,763.92,0.2618,290.0,40.0,763.88,68246832.877
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,SPYUSDT,perp,SPY,764.72,764.73,764.725,0.1308,116.84,0.4,764.65,3657779.7233
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RQQQUSDT,spot,QQQ,735.63,735.65,735.64,0.2719,300.0,25.0,735.6,28597263.7183
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,QQQUSDT,perp,QQQ,736.31,736.32,736.315,0.1358,58.59,1.01,736.26,5096858.6631
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RSOXLUSDT,spot,SOXL,138.9,138.93,138.91500000000002,2.1596,14.0,100.0,138.84,28299951.9212
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,SOXLUSDT,perp,SOXL,139.12,139.13,139.125,0.7188,7.31,1.87,139.12,136304099.5343
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RHOODUSDT,spot,HOOD,120.22,120.3,120.25999999999999,6.6523,224.0,600.0,120.27,5314202.3533
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,HOODUSDT,perp,HOOD,120.42,120.44,120.43,1.6607,30.4,77.72,120.4,7372688.0494
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,RMRVLUSDT,spot,MRVL,256.16,256.4,256.28,9.3648,50.0,4.0,256.27,8907781.1439
2026-09-24T16:01:22.995Z,1790265682995,2026-09-25,MRVLUSDT,perp,MRVL,256.49,256.5,256.495,0.3899,16.66,93.58,256.52,8924507.5583
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RTSLAUSDT,spot,TSLA,376.14,376.18,376.15999999999997,1.0634,80.0,141.0,376.16,47929192.8257
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,TSLAUSDT,perp,TSLA,376.53,376.54,376.53499999999997,0.2656,16.16,0.5,376.49,19499415.6992
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RNVDAUSDT,spot,NVDA,222.27,222.3,222.28500000000003,1.3496,139.0,490.0,222.29,77221427.6562
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,NVDAUSDT,perp,NVDA,222.51,222.52,222.515,0.4494,6.2,4.64,222.52,10139334.5547
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RAAPLUSDT,spot,AAPL,336.72,336.74,336.73,0.5939,29.0,162.0,336.74,34473154.6722
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,AAPLUSDT,perp,AAPL,337.02,337.03,337.025,0.2967,12.72,4.54,337.01,6312486.4679
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RMETAUSDT,spot,META,766.76,767.15,766.9549999999999,5.085,53.0,2.0,766.79,159453781.679
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,METAUSDT,perp,META,767.21,767.33,767.27,1.564,0.15,4.05,767.21,13887043.2594
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RGOOGLUSDT,spot,GOOGL,339.23,339.26,339.245,0.8843,40.0,45.0,339.25,25470108.8296
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,GOOGLUSDT,perp,GOOGL,339.7,339.73,339.71500000000003,0.8831,0.69,67.06,339.68,6764277.2877
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RSPYUSDT,spot,SPY,763.91,763.93,763.92,0.2618,160.0,132.0,763.93,79561194.0959
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,SPYUSDT,perp,SPY,764.75,764.76,764.755,0.1308,99.1,32.81,764.76,3656756.6902
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RQQQUSDT,spot,QQQ,735.55,735.57,735.56,0.2719,1.0,1299.0,735.54,45279184.515
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,QQQUSDT,perp,QQQ,736.31,736.32,736.315,0.1358,5.18,0.19,736.26,5099867.6826
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RSOXLUSDT,spot,SOXL,138.97,139.0,138.985,2.1585,64.0,50.0,138.93,32946831.182
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,SOXLUSDT,perp,SOXL,139.15,139.17,139.16,1.4372,307.36,90.14,139.18,136611025.0881
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RHOODUSDT,spot,HOOD,120.26,120.32,120.28999999999999,4.9879,80.0,307.0,120.29,7457421.5683
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,HOODUSDT,perp,HOOD,120.41,120.44,120.425,2.4912,30.4,30.4,120.42,7361323.496
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,RMRVLUSDT,spot,MRVL,256.25,256.38,256.315,5.0719,55.0,50.0,256.34,10735519.3939
2026-09-24T16:02:23.010Z,1790265743010,2026-09-25,MRVLUSDT,perp,MRVL,256.56,256.58,256.57,0.7795,1.04,47.03,256.61,8931168.0842
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RTSLAUSDT,spot,TSLA,376.45,376.5,376.475,1.3281,17.0,80.0,376.46,67405851.5289
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,TSLAUSDT,perp,TSLA,376.7,376.72,376.71000000000004,0.5309,0.34,16.06,376.73,19581366.5101
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RNVDAUSDT,spot,NVDA,222.31,222.32,222.315,0.4498,245.0,198.0,222.31,87819577.213
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,NVDAUSDT,perp,NVDA,222.57,222.58,222.575,0.4493,5.16,58.98,222.59,10144885.0469
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RAAPLUSDT,spot,AAPL,336.68,336.69,336.685,0.297,2.0,2.0,336.64,57721376.3911
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,AAPLUSDT,perp,AAPL,336.95,336.96,336.955,0.2968,12.71,5.34,336.95,6323617.8552
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RMETAUSDT,spot,META,766.04,766.31,766.175,3.524,3.0,1.0,766.17,192552271.9264
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,METAUSDT,perp,META,766.71,766.81,766.76,1.3042,2.0,2.0,766.71,13893139.8516
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,GOOGLUSDT,perp,GOOGL,339.76,339.77,339.765,0.2943,36.23,70.59,339.74,6756368.8044
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RSPYUSDT,spot,SPY,763.88,763.9,763.89,0.2618,140.0,90.0,763.88,88444215.0628
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,SPYUSDT,perp,SPY,764.7,764.71,764.705,0.1308,54.83,71.12,764.69,3657330.0301
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RQQQUSDT,spot,QQQ,735.56,735.58,735.5699999999999,0.2719,180.0,359.0,735.52,60120445.4159
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,QQQUSDT,perp,QQQ,736.34,736.35,736.345,0.1358,5.34,3.65,736.23,5104108.8919
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RSOXLUSDT,spot,SOXL,138.93,138.98,138.95499999999998,3.5983,210.0,14.0,138.96,43948359.483
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,SOXLUSDT,perp,SOXL,139.06,139.07,139.065,0.7191,0.05,6.52,139.07,136564678.4353
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,RHOODUSDT,spot,HOOD,120.13,120.19,120.16,4.9933,120.0,200.0,120.2,9067366.0083
2026-09-24T16:03:23.024Z,1790265803024,2026-09-25,HOODUSDT,perp,HOOD,120.29,120.33,120.31,3.3247,462.97,30.4,120.33,7364425.8943
