ts_utc,ts_ms,date_cn,symbol,venue,base,bid,ask,mid,spread_bp,bid_sz,ask_sz,last,usdt_vol_24h
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,RTSLAUSDT,spot,TSLA,364.47,364.55,364.51,2.1947,0.1284,0.4645,364.55,74.959706
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,TSLAUSDT,perp,TSLA,364.85,364.89,364.87,1.0963,2.09,105.01,364.89,5603579.4107
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,RNVDAUSDT,spot,NVDA,222.12,222.37,222.245,11.2488,2.0,1.4832,222.13,122336.856586
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,NVDAUSDT,perp,NVDA,222.41,222.42,222.415,0.4496,127.29,3.29,222.42,10833061.9775
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,RAAPLUSDT,spot,AAPL,334.51,334.99,334.75,14.3391,0.3806,0.4128,334.51,22452205219.13761
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,AAPLUSDT,perp,AAPL,335.43,335.44,335.435,0.2981,213.17,9.18,335.44,1332514.8114
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,RMETAUSDT,spot,META,670.25,670.37,670.31,1.7902,0.4598,9.36,670.25,19281.370024
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,METAUSDT,perp,META,670.64,670.68,670.66,0.5964,0.09,3.38,670.53,1697299.2147
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,RGOOGLUSDT,spot,GOOGL,350.63,351.02,350.825,11.1167,0.2661,0.0472,350.64,19676.863422
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,GOOGLUSDT,perp,GOOGL,350.82,350.83,350.825,0.285,8.56,0.21,350.76,2489185.4526
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,RSPYUSDT,spot,SPY,762.88,763.67,763.275,10.3501,18.7347,24.24,763.36,3322.369865
2026-09-19T16:00:47.006Z,1789833647006,2026-09-20,SPYUSDT,perp,SPY,763.79,763.82,763.8050000000001,0.3928,17.25,3321.48,763.84,2754003.3068
