ts_utc,ts_ms,date_cn,base,symbol,venue,trade_id,side,price,size,notional_usd
2026-09-24T15:06:16.589Z,1790262376589,2026-09-24,SOXL,SOXLUSDT,perp,1487033675180400640,sell,139.37,0.05,6.9685
2026-09-24T15:06:16.834Z,1790262376834,2026-09-24,SOXL,SOXLUSDT,perp,1487033676208005120,sell,139.36,0.05,6.968
2026-09-24T15:06:16.849Z,1790262376849,2026-09-24,SOXL,SOXLUSDT,perp,1487033676270919686,sell,139.34,1.42,197.8628
2026-09-24T15:06:16.849Z,1790262376849,2026-09-24,SOXL,SOXLUSDT,perp,1487033676270919684,sell,139.34,8.1,1128.654
2026-09-24T15:06:16.849Z,1790262376849,2026-09-24,SOXL,SOXLUSDT,perp,1487033676270919682,sell,139.35,0.58,80.823
2026-09-24T15:06:16.849Z,1790262376849,2026-09-24,SOXL,SOXLUSDT,perp,1487033676270919680,sell,139.35,0.05,6.9675
2026-09-24T15:06:17.019Z,1790262377019,2026-09-24,SOXL,SOXLUSDT,perp,1487033676983951360,sell,139.33,0.05,6.9665
2026-09-24T15:06:17.045Z,1790262377045,2026-09-24,SOXL,SOXLUSDT,perp,1487033677093003266,buy,139.33,2.19,305.1327
2026-09-24T15:06:17.045Z,1790262377045,2026-09-24,SOXL,SOXLUSDT,perp,1487033677093003264,buy,139.33,0.01,1.3933
2026-09-24T15:06:17.136Z,1790262377136,2026-09-24,SOXL,SOXLUSDT,perp,1487033677474684930,sell,139.32,0.05,6.966
2026-09-24T15:06:17.190Z,1790262377190,2026-09-24,SOXL,SOXLUSDT,perp,1487033677701177344,sell,139.31,0.21,29.2551
2026-09-24T15:06:18.287Z,1790262378287,2026-09-24,SOXL,SOXLUSDT,perp,1487033682302328838,sell,139.29,9.15,1274.5035
2026-09-24T15:06:18.287Z,1790262378287,2026-09-24,SOXL,SOXLUSDT,perp,1487033682302328836,sell,139.29,0.05,6.9645
2026-09-24T15:06:18.287Z,1790262378287,2026-09-24,SOXL,SOXLUSDT,perp,1487033682302328834,sell,139.3,0.05,6.965
2026-09-24T15:06:18.288Z,1790262378288,2026-09-24,SOXL,SOXLUSDT,perp,1487033682306523136,sell,139.29,0.37,51.5373
2026-09-24T15:06:18.324Z,1790262378324,2026-09-24,SOXL,SOXLUSDT,perp,1487033682457518080,sell,139.28,0.05,6.964
2026-09-24T15:06:18.353Z,1790262378353,2026-09-24,SOXL,SOXLUSDT,perp,1487033682579152896,sell,139.26,1.27,176.8602
2026-09-24T15:06:18.713Z,1790262378713,2026-09-24,SOXL,SOXLUSDT,perp,1487033684089102338,sell,139.25,0.88,122.54
2026-09-24T15:06:18.713Z,1790262378713,2026-09-24,SOXL,SOXLUSDT,perp,1487033684089102336,sell,139.25,0.05,6.9625
2026-09-24T15:06:18.718Z,1790262378718,2026-09-24,SOXL,SOXLUSDT,perp,1487033684110073860,sell,139.24,0.05,6.962
2026-09-24T15:06:19.255Z,1790262379255,2026-09-24,SOXL,SOXLUSDT,perp,1487033686362415126,sell,139.22,10.0,1392.2
2026-09-24T15:06:19.255Z,1790262379255,2026-09-24,SOXL,SOXLUSDT,perp,1487033686362415124,sell,139.22,0.22,30.6284
2026-09-24T15:06:19.255Z,1790262379255,2026-09-24,SOXL,SOXLUSDT,perp,1487033686362415122,sell,139.22,0.04,5.5688
2026-09-24T15:06:19.255Z,1790262379255,2026-09-24,SOXL,SOXLUSDT,perp,1487033686362415108,sell,139.23,3.24,451.1052
2026-09-24T15:06:19.255Z,1790262379255,2026-09-24,SOXL,SOXLUSDT,perp,1487033686362415106,sell,139.23,0.05,6.9615
2026-09-24T15:06:19.255Z,1790262379255,2026-09-24,SOXL,SOXLUSDT,perp,1487033686362415104,sell,139.23,0.15,20.8845
2026-09-24T15:06:19.257Z,1790262379257,2026-09-24,MRVL,MRVLUSDT,perp,1487033686370795522,sell,254.99,0.02,5.0998
2026-09-24T15:06:19.257Z,1790262379257,2026-09-24,MRVL,MRVLUSDT,perp,1487033686370795520,sell,255.0,0.03,7.65
2026-09-24T15:06:19.258Z,1790262379258,2026-09-24,SOXL,SOXLUSDT,perp,1487033686374998022,sell,139.21,0.05,6.9605
2026-09-24T15:06:19.258Z,1790262379258,2026-09-24,SOXL,SOXLUSDT,perp,1487033686374998020,sell,139.21,0.05,6.9605
2026-09-24T15:06:20.092Z,1790262380092,2026-09-24,SOXL,SOXLUSDT,perp,1487033689873047554,buy,139.24,2.83,394.0492
2026-09-24T15:06:20.092Z,1790262380092,2026-09-24,SOXL,SOXLUSDT,perp,1487033689873047552,buy,139.24,1.56,217.2144
2026-09-24T15:06:20.094Z,1790262380094,2026-09-24,SOXL,SOXLUSDT,perp,1487033689881436162,buy,139.25,2.15,299.3875
2026-09-24T15:06:20.094Z,1790262380094,2026-09-24,SOXL,SOXLUSDT,perp,1487033689881436160,buy,139.25,0.05,6.9625
2026-09-24T15:06:20.096Z,1790262380096,2026-09-24,SOXL,SOXLUSDT,perp,1487033689889824774,buy,139.26,0.27,37.6002
2026-09-24T15:06:20.096Z,1790262380096,2026-09-24,SOXL,SOXLUSDT,perp,1487033689889824772,buy,139.26,0.51,71.0226
2026-09-24T15:06:20.096Z,1790262380096,2026-09-24,SOXL,SOXLUSDT,perp,1487033689889824770,buy,139.26,0.55,76.593
2026-09-24T15:06:20.096Z,1790262380096,2026-09-24,SOXL,SOXLUSDT,perp,1487033689889824768,buy,139.26,0.5,69.63
2026-09-24T15:06:20.105Z,1790262380105,2026-09-24,SOXL,SOXLUSDT,perp,1487033689927573506,sell,139.24,2.36,328.6064
2026-09-24T15:06:20.105Z,1790262380105,2026-09-24,SOXL,SOXLUSDT,perp,1487033689927573504,sell,139.24,0.43,59.8732
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980494,buy,139.26,6.36,885.6936
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980492,buy,139.26,3.8,529.188
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980490,buy,139.26,1.56,217.2456
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980488,buy,139.26,3.28,456.7728
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980486,buy,139.26,1.7,236.742
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980484,buy,139.25,1.7,236.725
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980482,buy,139.25,0.25,34.8125
2026-09-24T15:06:20.174Z,1790262380174,2026-09-24,SOXL,SOXLUSDT,perp,1487033690216980480,buy,139.25,4.6,640.55
2026-09-24T15:06:20.408Z,1790262380408,2026-09-24,SOXL,SOXLUSDT,perp,1487033691198447620,sell,139.24,10.57,1471.7668
2026-09-24T15:06:20.408Z,1790262380408,2026-09-24,SOXL,SOXLUSDT,perp,1487033691198447618,sell,139.24,3.6,501.264
2026-09-24T15:06:20.408Z,1790262380408,2026-09-24,SOXL,SOXLUSDT,perp,1487033691198447616,sell,139.25,1.7,236.725
2026-09-24T15:06:20.413Z,1790262380413,2026-09-24,SOXL,SOXLUSDT,perp,1487033691219419144,sell,139.25,1.39,193.5575
2026-09-24T15:06:20.413Z,1790262380413,2026-09-24,SOXL,SOXLUSDT,perp,1487033691219419142,sell,139.25,1.7,236.725
2026-09-24T15:06:20.413Z,1790262380413,2026-09-24,SOXL,SOXLUSDT,perp,1487033691219419140,sell,139.26,1.7,236.742
2026-09-24T15:06:22.436Z,1790262382436,2026-09-24,SOXL,SOXLUSDT,perp,1487033699704496128,sell,139.22,0.4,55.688
2026-09-24T15:06:23.181Z,1790262383181,2026-09-24,SOXL,SOXLUSDT,perp,1487033702829252610,sell,139.2,0.05,6.96
2026-09-24T15:06:23.181Z,1790262383181,2026-09-24,SOXL,SOXLUSDT,perp,1487033702829252608,sell,139.2,0.21,29.232
2026-09-24T15:06:23.877Z,1790262383877,2026-09-24,SOXL,SOXLUSDT,perp,1487033705748488198,sell,139.18,9.54,1327.7772
2026-09-24T15:06:23.877Z,1790262383877,2026-09-24,SOXL,SOXLUSDT,perp,1487033705748488196,sell,139.18,0.46,64.0228
2026-09-24T15:06:23.877Z,1790262383877,2026-09-24,SOXL,SOXLUSDT,perp,1487033705748488194,sell,139.19,0.05,6.9595
2026-09-24T15:06:23.877Z,1790262383877,2026-09-24,SOXL,SOXLUSDT,perp,1487033705748488192,sell,139.19,0.2,27.838
2026-09-24T15:06:24.778Z,1790262384778,2026-09-24,SOXL,SOXLUSDT,perp,1487033709527556102,sell,139.17,0.05,6.9585
2026-09-24T15:06:24.778Z,1790262384778,2026-09-24,SOXL,SOXLUSDT,perp,1487033709527556100,sell,139.17,0.02,2.7834
2026-09-24T15:06:24.778Z,1790262384778,2026-09-24,SOXL,SOXLUSDT,perp,1487033709527556098,sell,139.17,0.01,1.3917
2026-09-24T15:06:24.778Z,1790262384778,2026-09-24,SOXL,SOXLUSDT,perp,1487033709527556096,sell,139.17,0.23,32.0091
2026-09-24T15:06:24.779Z,1790262384779,2026-09-24,SOXL,SOXLUSDT,perp,1487033709531750408,sell,139.16,0.44,61.2304
2026-09-24T15:06:24.779Z,1790262384779,2026-09-24,SOXL,SOXLUSDT,perp,1487033709531750406,sell,139.16,4.98,693.0168
2026-09-24T15:06:24.779Z,1790262384779,2026-09-24,SOXL,SOXLUSDT,perp,1487033709531750404,sell,139.16,4.12,573.3392
2026-09-24T15:06:24.779Z,1790262384779,2026-09-24,SOXL,SOXLUSDT,perp,1487033709531750402,sell,139.16,0.05,6.958
2026-09-24T15:06:24.779Z,1790262384779,2026-09-24,SOXL,SOXLUSDT,perp,1487033709531750400,sell,139.16,0.04,5.5664
2026-09-24T15:06:24.780Z,1790262384780,2026-09-24,SOXL,SOXLUSDT,perp,1487033709535944708,sell,139.15,1.22,169.763
2026-09-24T15:06:24.780Z,1790262384780,2026-09-24,SOXL,SOXLUSDT,perp,1487033709535944706,sell,139.15,0.05,6.9575
2026-09-24T15:06:24.780Z,1790262384780,2026-09-24,SOXL,SOXLUSDT,perp,1487033709535944704,sell,139.15,10.31,1434.6365
2026-09-24T15:06:24.784Z,1790262384784,2026-09-24,SOXL,SOXLUSDT,perp,1487033709552721920,buy,139.15,3.12,434.148
2026-09-24T15:06:25.501Z,1790262385501,2026-09-24,SOXL,SOXLUSDT,perp,1487033712560037896,sell,139.13,9.21,1281.3873
2026-09-24T15:06:25.501Z,1790262385501,2026-09-24,SOXL,SOXLUSDT,perp,1487033712560037894,sell,139.13,5.84,812.5192
2026-09-24T15:06:25.501Z,1790262385501,2026-09-24,SOXL,SOXLUSDT,perp,1487033712560037892,sell,139.14,0.05,6.957
2026-09-24T15:06:25.501Z,1790262385501,2026-09-24,SOXL,SOXLUSDT,perp,1487033712560037890,sell,139.14,0.27,37.5678
