base,fills,trades_total,fill_rate,half_spread_bp,notional_med_usd,notional_sum_usd,venue,side,fdmid_med_k1,fdmid_p25_k1,n_k1,fdmid_med_k2,fdmid_p25_k2,n_k2,fdmid_med_k3,fdmid_p25_k3,n_k3,fdmid_med_k6,fdmid_p25_k6,n_k6,fdmid_med_k12,fdmid_p25_k12,n_k12,fdmid_med_k24,fdmid_p25_k24,n_k24,net_k6_bp,net_k6_usd,breakeven_fdmid_k6,fee_bp
AAPL,1860,8075,0.2303,0.1509,89.19,293005.15,perp,ask,-1.4996,-6.3409,1860,-1.2071,-6.0389,1860,-1.4998,-6.3407,1860,-1.7994,-7.9926,1858,-2.0993,-9.3603,1856,-2.0989,-8.9053,1852,-8.6485,-253.41,6.8491,7.0
GOOGL,3001,8091,0.3709,0.1483,74.42,686166.67,perp,ask,-0.5886,-2.9272,3001,-0.8841,-3.0771,3001,-0.5886,-2.3761,3001,-0.0,-4.5996,2999,0.1471,-4.2449,2992,1.1024,-6.1556,2986,-6.8517,-470.14,6.8517,7.0
HOOD,1699,8051,0.211,0.4656,59.61,713180.15,perp,ask,-0.4643,-4.1264,1699,-0.9278,-4.6423,1699,-0.9203,-4.6408,1699,-0.0,-4.9882,1692,0.4628,-6.4716,1692,1.8468,-3.2472,1689,-6.5344,-466.02,6.5344,7.0
META,2754,8158,0.3376,0.1554,12.86,194088.21,perp,ask,-0.1553,-0.6996,2754,-0.2335,-1.0892,2754,-0.3888,-1.4779,2754,-0.4668,-2.3355,2754,-0.6931,-3.8857,2754,-1.6327,-4.9783,2754,-7.3114,-141.91,6.8446,7.0
MRVL,2199,8114,0.271,0.2193,47.43,450378.81,perp,ask,-0.2205,-2.9892,2199,-0.2135,-2.6305,2199,-0.2198,-3.3043,2197,0.2136,-5.1244,2197,1.5364,-3.5076,2195,3.8407,-2.9973,2193,-6.5671,-295.77,6.7807,7.0
NVDA,3801,8234,0.4616,0.2325,161.26,3100945.69,perp,ask,-0.4657,-1.8639,3801,-0.9284,-2.3203,3801,-0.9284,-2.7999,3795,-0.929,-2.7912,3772,-0.4651,-4.1836,3763,-0.929,-6.9639,3735,-7.6965,-2386.64,6.7675,7.0
QQQ,4495,8296,0.5418,0.0704,113.46,1151125.9,perp,ask,-0.0,-0.5643,4495,-0.0,-0.8392,4495,-0.0,-0.8391,4495,-0.0,-1.2672,4495,0.2798,-1.8332,4433,0.141,-2.3808,4428,-6.9296,-797.68,6.9296,7.0
SOXL,5057,9499,0.5324,0.4266,188.34,2517399.46,perp,ask,-2.5616,-10.2437,5057,-2.5625,-11.1192,5056,-2.972,-11.8992,5055,1.7066,-9.3997,4973,-0.0,-14.5169,4818,3.4125,-12.8046,4798,-4.8668,-1225.17,6.5734,7.0
SPY,4609,8069,0.5712,0.0655,114.91,4560732.38,perp,ask,-0.2618,-0.8511,4609,-0.3927,-1.0477,4609,-0.0655,-1.0477,4609,-0.0657,-1.113,4609,0.1314,-0.5245,4609,1.5714,-0.3937,4609,-7.0002,-3192.59,6.9345,7.0
TSLA,3216,8062,0.3989,0.1368,58.95,736930.81,perp,ask,-0.0,-3.2492,3216,-1.7727,-2.9926,3216,-1.3538,-5.3671,3216,1.09,-2.5909,3216,1.4928,-4.3797,3216,4.7503,-3.0252,3213,-5.7731,-425.44,6.8632,7.0
