route,base,windows,both,spot_only,perp_only,none,p_both,p_part,p_none,p_spot,p_perp,raw_p_both,raw_p_part,raw_p_none,raw_p_spot,raw_p_perp,small_sample_floor,floored,p_both_indep,p_part_indep,p_none_indep,both_lift,phi,p_both_given_both_venues_traded,arr_spot,arr_perp,arr_both,arr_phi,fill_given_both_arrived,fill_given_one_arrived,date_from,date_to,max_gap_s,fee_spot_bp,fee_perp_maker_bp,fee_perp_taker_bp,method
in_house,AAPL,3671,5,26,574,3066,0.001362,0.163443,0.835195,0.008445,0.157723,0.001362,0.163443,0.835195,0.008445,0.157723,0.000272,0,0.001332,0.163503,0.835165,1.02262,0.000903,0.008264,0.02261,0.287115,0.008172,0.024989,0.166667,0.557103,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,GOOGL,3670,28,77,483,3082,0.007629,0.152589,0.839782,0.02861,0.139237,0.007629,0.152589,0.839782,0.02861,0.139237,0.000272,0,0.003984,0.15988,0.836136,1.915199,0.063171,0.047619,0.069482,0.263488,0.039237,0.186847,0.194444,0.599572,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,HOOD,3671,9,14,448,3200,0.002452,0.125851,0.871697,0.006265,0.124489,0.002452,0.125851,0.871697,0.006265,0.124489,0.000272,0,0.00078,0.129195,0.870025,3.143278,0.064173,0.019108,0.008445,0.245437,0.004086,0.05113,0.6,0.512195,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,META,3671,87,16,339,3229,0.023699,0.096704,0.879597,0.028058,0.116045,0.023699,0.096704,0.879597,0.028058,0.116045,0.000272,0,0.003256,0.137591,0.859154,7.27875,0.386524,0.196833,0.040044,0.169981,0.034323,0.373642,0.690476,0.684008,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,MRVL,3671,19,64,574,3014,0.005176,0.173795,0.82103,0.02261,0.161536,0.005176,0.173795,0.82103,0.02261,0.161536,0.000272,0,0.003652,0.176841,0.819506,1.417115,0.027846,0.028919,0.039499,0.269954,0.017979,0.084607,0.287879,0.635458,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,NVDA,3671,132,274,593,2672,0.035958,0.236175,0.727867,0.110597,0.197494,0.035958,0.236175,0.727867,0.110597,0.197494,0.000272,0,0.021842,0.264406,0.713752,1.646244,0.11305,0.132132,0.145737,0.313266,0.076818,0.190423,0.468085,0.773417,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,QQQ,3670,37,126,614,2893,0.010082,0.201635,0.788283,0.044414,0.177384,0.010082,0.201635,0.788283,0.044414,0.177384,0.000272,0,0.007878,0.206042,0.78608,1.279674,0.027999,0.047619,0.082016,0.307084,0.048229,0.182054,0.20904,0.689013,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,SPY,3671,0,7,484,3180,0.000272,0.133751,0.865977,0.001907,0.131844,0.0,0.133751,0.866249,0.001907,0.131844,0.000272,1,0.000251,0.133248,0.8665,1.08353,0.001423,0.0,0.003814,0.239444,0.000817,-0.003648,0.0,0.553551,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
in_house,TSLA,3670,34,103,459,3074,0.009264,0.153134,0.837602,0.03733,0.134332,0.009264,0.153134,0.837602,0.03733,0.134332,0.000272,0,0.005015,0.161633,0.833352,1.84747,0.06574,0.057047,0.058583,0.255313,0.026975,0.117367,0.343434,0.589099,2026-09-12,2026-09-14,180.0,5.0,2.0,6.0,per_window_real_trades_in_house
